"speaker","speaker_title","topic","talk_summary","speaker_bio","talk_url","speaker_twitter","speaker_ted_url","posted","tags"
"AJ Jacobs","Author","The world's largest family reunion ... we're all invited!","You may not know it yet, but AJ Jacobs is probably your cousin (many, many times removed). Using genealogy websites, he's been following the unexpected links that make us all, however distantly, related. His goal: to throw the world's largest family reunion. See you there?","Immersing himself in alternate lifestyles and long, hilarious experiments (usually with himself the guinea pig), writer AJ Jacobs tests the limits of behavior, customs, culture, knowledge — and his wife's sense of humor.","https://ted.com/talks/aj_jacobs_the_world_s_largest_family_reunion_we_re_all_invited","not available","https://ted.com/speakers/a_j_jacobs","Jun 2014","Funny, Fascinating"
"Uri Alon","Systems biologist","Why science demands a leap into the unknown","While studying for his PhD in physics, Uri Alon thought he was a failure because all his research paths led to dead ends. But, with the help of improv theater, he came to realize that there could be joy in getting lost. A call for scientists to stop thinking of research as a direct line from question to answer, but as something more creative. It's a message that will resonate, no matter what your field.","Uri Alon studies how cells work, using an array of tools (including improv theater) to understand the biological circuits that perform the functions of life.","https://ted.com/talks/uri_alon_why_truly_innovative_science_demands_a_leap_into_the_unknown","not available","https://ted.com/speakers/uri_alon","Jun 2014","Inspiring, Fascinating"
"Will Potter","Investigative journalist","The shocking move to criminalize nonviolent protest","In 2002, investigative journalist and TED Fellow Will Potter took a break from his regular beat, writing about shootings and murders for the Chicago Tribune. He went to help a local group campaigning against animal testing: ""I thought it would be a safe way to do something positive,"" he says. Instead, he was arrested, and so began his ongoing journey into a world in which peaceful protest is branded as terrorism.","Award-winning journalist and author, Will Potter focuses on the animal rights and environmental movements, and civil liberties in the post-9/11 era.","https://ted.com/talks/will_potter_the_shocking_move_to_criminalize_non_violent_protest","https://twitter.com/will_potter","https://ted.com/speakers/will_potter","Jun 2014","Informative, Courageous"
"Keren Elazari","Cybersecurity expert","Hackers: the Internet's immune system","The beauty of hackers, says cybersecurity expert Keren Elazari, is that they force us to evolve and improve. Yes, some hackers are bad guys, but many are working to fight government corruption and advocate for our rights. By exposing vulnerabilities, they push the Internet to become stronger and healthier, wielding their power to create a better world.","Keren Elazari charts the transformation of hackers from cyberpunk protagonists to powerful hacktivists, lone rangers and digital robin hoods who are the unsung heroes of the digital frontier.","https://ted.com/talks/keren_elazari_hackers_the_internet_s_immune_system","https://twitter.com/k3r3n3","https://ted.com/speakers/keren_elezari","Jun 2014","Informative, Inspiring"
"Stella Young","Comedian, journalist, activist","I'm not your inspiration, thank you very much","Stella Young is a comedian and journalist who happens to go about her day in a wheelchair — a fact that doesn't, she'd like to make clear, automatically turn her into a noble inspiration to all humanity. In this very funny talk, Young breaks down society's habit of turning disabled people into ""inspiration porn.""","Writer, comedian and advocate Stella Young was the editor of Ramp Up, an online space for news, discussion and opinion about disability in Australia.","https://ted.com/talks/stella_young_i_m_not_your_inspiration_thank_you_very_much","https://twitter.com/stellajyoung","https://ted.com/speakers/stella_young","Jun 2014","Funny, Informative"
"Yoruba Richen","Documentary filmmaker","What the gay rights movement learned from the civil rights movement","As a member of both the African American and LGBT communities, filmmaker Yoruba Richen is fascinated with the overlaps and tensions between the gay rights and the civil rights movements. She explores how the two struggles intertwine and propel each other forward — and, in an unmissable argument, she dispels a myth about their points of conflict. A powerful reminder that we all have a stake in equality.","In her documentary films, Yoruba Richen unites African-American, feminist and LGBTQ voices in a renewed cry for civil rights for all.","https://ted.com/talks/yoruba_richen_what_the_gay_rights_movement_learned_from_the_civil_rights_movement","not available","https://ted.com/speakers/yoruba_richen","Jun 2014","Inspiring, Informative"
"Robert Full","Biologist","The secrets of nature's grossest creatures, channeled into robots","How can robots learn to stabilize on rough terrain, walk upside down, do gymnastic maneuvers in air and run into walls without harming themselves? Robert Full takes a look at the incredible body of the cockroach to show what it can teach robotics engineers.","Robert Full studies cockroach legs and gecko feet. His research is helping build tomorrow's robots, based on evolution's ancient engineering.","https://ted.com/talks/robert_full_the_secrets_of_nature_s_grossest_creatures_channeled_into_robots","not available","https://ted.com/speakers/robert_full","Jun 2014","Fascinating, Informative"
"Stephen Burt","Poetry critic","Why people need poetry","""We're all going to die — and poems can help us live with that."" In a charming and funny talk, literary critic Stephen Burt takes us on a lyrical journey with some of his favorite poets, all the way down to a line break and back up to the human urge to imagine.","In his influential poetry criticism, Stephen Burt links the contemporary with the classical, pinpoints new poetry movements, and promotes outstanding little-known poets.","https://ted.com/talks/stephen_burt_why_people_need_poetry","https://twitter.com/accommodatingly","https://ted.com/speakers/stephen_burt","Jun 2014","Beautiful, Fascinating"
"Dan Gilbert","Psychologist; happiness expert","The psychology of your future self","""Human beings are works in progress that mistakenly think they're finished."" Dan Gilbert shares recent research on a phenomenon he calls the ""end of history illusion,"" where we somehow imagine that the person we are right now is the person we'll be for the rest of time. Hint: that's not the case.","Harvard psychologist Dan Gilbert says our beliefs about what will make us happy are often wrong — a premise he supports with intriguing research, and explains in his accessible and unexpectedly funny book, Stumbling on Happiness.","https://ted.com/talks/dan_gilbert_you_are_always_changing","not available","https://ted.com/speakers/dan_gilbert","Jun 2014","Informative, Fascinating"
"Ray Kurzweil","Inventor, futurist","Get ready for hybrid thinking","Two hundred million years ago, our mammal ancestors developed a new brain feature: the neocortex. This stamp-sized piece of tissue (wrapped around a brain the size of a walnut) is the key to what humanity has become. Now, futurist Ray Kurzweil suggests, we should get ready for the next big leap in brain power, as we tap into the computing power in the cloud.","Ray Kurzweil is an engineer who has radically advanced the fields of speech, text and audio technology. He's revered for his dizzying — yet convincing — writing on the advance of technology, the limits of biology and the future of the human species.","https://ted.com/talks/ray_kurzweil_get_ready_for_hybrid_thinking","not available","https://ted.com/speakers/ray_kurzweil","Jun 2014","Informative, Fascinating"
